patient;preict1;preict2;lvf1;lvf2;Ict1;Ict2
sim0;7.279;7.853;144.503;169.866;2.514;2.535
sim0;41.848;41.345;112.016;74.37;4.894;6.187
sim0;49.944;44.481;69.362;75.388;19.884;22.669
sim0;157.415;166.353;107.803;132.452;106.947;116.689
sim1;6.602;8.01;107.324;118.003;1.774;1.9
sim1;41.47;52.855;47.346;48.433;4.585;4.837
sim1;47.921;60.748;42.801;65.32;19.008;19.769
sim1;164.006;164.649;67.933;57.221;140.378;143.016
sim2;6.006;6.279;170.916;195.772;3.049;2.962
sim2;37.326;43.859;80.544;62.489;5.802;5.161
sim2;50.141;51.161;59.069;73.667;25.732;24.494
sim2;168.81;156.884;94.456;82.175;128.158;122.788
sim3;8.831;7.667;86.679;104.219;3.058;2.665
sim3;47.418;44.822;71.743;52.337;6.278;6.52
sim3;55.504;49.518;45.962;57.041;33.463;18.855
sim3;136.847;159.174;73.304;56.501;136.993;149.721
sim4;8.032;7.012;71.831;126.035;1.694;1.893
sim4;42.049;46.517;49.029;77.111;5.324;4.227
sim4;42.582;67.652;51.321;74.443;21.009;14.686
sim4;163.853;152.387;39.498;121.845;138.718;124.479
sim5;7.696;7.075;146.889;143.343;2.555;2.05
sim5;49.798;49.498;91.225;60.103;6.53;5.502
sim5;44.079;55.448;109.995;37.681;24.146;24.396
sim5;172.72;173.923;60.756;85.773;121.287;130.841
sim6;8.678;7.875;135.935;76.626;1.644;1.875
sim6;50.18;46.4;89.486;47.132;5.254;5.214
sim6;52.74;53.444;81.314;27.85;18.419;22.123
sim6;175.498;170.487;94.074;82.312;124.589;129.338
sim7;7.569;7.869;175.857;139.948;1.784;1.925
sim7;42.031;42.991;74.03;86.887;4.457;4.564
sim7;51.715;51.244;81.81;93.44;14.354;21.721
sim7;138.858;143.729;68.808;110.504;122.747;132.059
sim8;5.991;6.218;101.859;148.244;1.829;1.742
sim8;48.931;38.471;44.728;44.524;4.299;4.658
sim8;48.628;46.18;57.899;67.175;20.072;16.613
sim8;147.971;152.287;49.302;40.087;134.369;126.9
sim9;7.681;6.656;83.392;158.265;3.078;2.022
sim9;46.895;43.303;101.389;82.104;6.659;4.863
sim9;49.584;45.411;91.51;106.527;21.237;23.453
sim9;153.589;153.938;120.282;72.183;116.728;123.938
